Greek Word,English Translation,Similar,Example Sentence
η δραστηριότητα,activity,,Ανακαλύφθηκαν στρώματα που δείχνουν ανθρώπινη δραστηριότητα πολλών χιλιετιών.
"ελληνικός, ελληνική, ελληνικό",Greek,,"Α. Γονίου, «(Ηπειρωτικά) Ονόματα κύρια», Ζωγράφειος αγών: Μνημεία της ελληνικής αρχαιότητος ζώντα εν τω νυν ελληνικώ λαώ, τμ."
Καιρό,Cairo,,"Αλλά οι δύο αυτοί λαμπροί εφευρέτες, αλλά διαφορετικοί τύποι ανθρώπων, δεν ήταν δυνατόν να συνεργασθούν για πολύ καιρό."
κατέκτησε,conquered,απέκτησε,"Αν και στην αρχή αμφισβητήθηκε, από τα μέσα της περιόδου 2004-05, είχε θέση βασικού στο «τριφύλλι», με το οποίο κατέκτησε το νταμπλ της σεζόν 2009-2010."
η κοινότητα,community,,"Αμέσως, η κοινότητα των έγχρωμων απάντησε με μποϋκοτάρισμα της χρήσης των λεωφορείων, μέχρι να ματαιωθούν όλοι οι ρατσιστικοί νόμοι που ίσχυαν μέχρι τότε."
ορισμένες,some,,"Ακόμη και τον χειμώνα, ορισμένες ζεστές νύχτες βγαίνει προς αναζήτηση τροφής."
η παράδοση,tradition,,"Αυτό το μονότοξο γεφύρι είναι ένα από τα πιο ενδεικτικά παραδείγματα της αρχιτεκτονικής επί της εποχής της βασίλισσας Ταμάρ της Γεωργίας (βασίλεψε το 1184-1213) η οποία, σύμφωνα με την παράδοση, ήταν και αυτή που διέταξε την κατασκευή της γέφυρας."
η πλειοψηφία,majority,,"Άλλη άποψη δέχεται ότι το 10 ο αιώνα, ενώ η βασιλική φυλή αποδέχθηκε επίσημα τον Ιουδαϊσμό, μια ακανόνιστη διαδικασία εξισλαμισμού έλαβε χώρα στην πλειοψηφία των Χαζάρων."
το ποσοστό,rate,,Αν και παρατηρείται συχνά το ποσοστό θνησιμότητας είναι μικρό (8 περίπου θάνατοι ανά 100.000 νοσούσες).
η σύνθεση,composition,,Αλλάζουν το όνομα τους σε Squires και μετά από λίγο και κάποιες μικροαλλαγές στη σύνθεση τους γεννιούνται οι Count Five.
ο τύπος,type,,"Αν και επιτυχημένο, το μοντέλο του 1907 είχε κακές επιδόσεις σε σύγκριση με τους πλέον συμβατικούς σύγχρονους τύπους."
η φάση,phase,,Από τη Β φάση έχουμε δάπεδο από βότσαλα με ίχνη επιχρίσματος από ώχρα και γύψο αλλά και τα θεμέλια του αρχαιότερου οικήματος στο νησί: τρεις τάφροι θεμελίωσης.
η Αγγλία,England,,
"παγκόσμιος, παγκόσμια, παγκόσμιο",global,,"Από το 2002, η Hyundai είναι επίσης ένας από τους παγκόσμιους επίσημους χορηγούς του Παγκοσμίου Κυπέλλου της FIFA."
έγραψε,He wrote,,"Αν και είναι περισσότερο γνωστός για δύο από τα έργα του, España και Joyeuse marche, έγραψε πολλές όπερες, ανάμεσα στις οποίες είναι η όπερα L' Étoile, η οποία γίνεται όλο και πιο δημοφιλής, τραγούδια και κομμάτια στο πιάνο."
το έδαφος,terrain,,Από το 1961 ως το 2003 ήταν υπερπόντιο έδαφος της Γαλλίας (territoire d'outre-mer ή TOM).
έπρεπε,ought,,"Αν και ήταν νομικά δεσμευτική, για να θεωρηθεί έγκυρη, η πρόταση έπρεπε να λάβει την απόλυτη πλειοψηφία των θετικών ψήφων και να υποστηρίζεται από τουλάχιστον το 35% των εγγεγραμμένων ψηφοφόρων (προσέλευση)."
το έτος,year,τους,"Αποτελείται από το έτος εκτόξευσης, έναν τριψήφιο αύξοντα αριθμό εκτόξευσης του έτους και έναν κωδικό έως τρία γράμματα."
αμέσως,immediately,,"Αντιπάθησε αμέσως μια κοπέλα στην καινούργια εφημερίδα (Daily Globe) όπου δούλευε, την Lance Bannon."
απλά,simply,,"Oι διεθνείς εθελοντές ήταν κυρίως σοσιαλιστές,αναρχικοί,κομμουνιστές,η απλά οι χώρες τους είχαν κομμουνιστικά καθεστώτα."
η απόφαση,decision,,"Αμφότερες οι χώρες απορρίπτουν την απόφαση, αναγνωρίζοντας τον Αλασάν Ουατάρα ως μοναδικό νόμιμο πρόεδρο."
το γκολ,goal,,"Αγωνίστηκε στον ΠΑΟΚ απο το 1979 εως το 1989 και συνολικά φόρεσε τη φανέλα του «Δικέφαλου» σε 128 παιχνίδια, σημειώνοντας δύο γκολ."
δίνει,gives,,;R-Coffee : μια ειδική λειτουργία του T-Coffee που δίνει τη δυνατότητα στο χρήστη να κάνει στοίχιση RNA ακολουθιών χρησιμοποιώντας ταυτόχρονα δευτεροταγής δομικές πληροφορίες.
επτά,seven,,"O καρπός φέρει πυκνές ομάδες βεντουζών, σε έξι ή επτά ακανόνιστες, εγκάρσιες σειρές."
η εργασία,work,,"Meyer, τ. Β', σ. 312–314 Τρία χρόνια αργότερα, το 1998, κυκλοφόρησε η πρώτη και (εκτός της εργασίας του MGFA) η μοναδική ως τώρα βιογραφία του Λούντβιχ Κύμπλερ, πάλι από τον Ρόλαντ Κάλτενέγκερ."
η ερμηνεία,interpretation,,"""Αναφέρομαι σε αυτήν την ερμηνεία ως εσφαλμένο διδακτικό(επ)οικοδομισμό, επειδή εξισώνει την ενεργή μάθηση με την ενεργή διδασκαλία"" (Mayer, 2004, p. 15)."
η θερμοκρασία,temperature,,Αυτή την τιμή τάσης διαβάζει η ECU για να υπολογίσει τη θερμοκρασία.
το κόμμα,party,,"To Προοδευτικό Κόμμα των Πολιτών ήρθε δεύτερο με 43,5%, πίσω από το κόμμα Πατριωτική Ένωση (VU), το οποίο κέρδισε 47,6%."
"κύριος, κύρια, κύριο",main,,"Αν και ο Βάλντι είχε μία ποικιλία διαφορετικών χρωματικών συνδυασμών, έχει αναφερθεί έχει κατά καιρούς αναφερθεί ότι το κύριο σύστημα σχεδιάστηκε για να ταιριάζει με τα χρώματα των Ολυμπιακών κύκλων, δηλαδή μπλε, πράσινο κίτρινο, πορτοκαλί και πράσινο."
το νερό,water,,Βρίσκεται σε μικρές ποσότητες στο θαλάσσιο νερό με τη μορφή ανιόντων ιωδίου (Ι - ) και σε περιεκτικότητα της τάξης των 50 mg/τόνο θαλάσσιου νερού.
